,name,country,region,rating,rating_count,price,value_for_money,price_category
607,La Lecciaia Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.1,6585,91,0.05,Mid Range
608,Risata Moscato d'Asti,Italy,Moscato d'Asti,4.2,6583,12,0.35,Budget
609,Risata Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,6583,17,0.24,Budget
610,Risata Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,6583,15,0.28,Budget
619,Antinori Villa Antinori Rosso 2022,Italy,Toscana,4.0,6499,21,0.19,Budget
620,Antinori Tignanello 2020,Italy,Toscana,4.5,6495,200,0.02,Premium
626,Donnafugata Sul Vulcano Etna Rosso 2022,Italy,Etna,3.9,6445,42,0.09,Budget
629,Ornellaia Le Volte 2022,Italy,Toscana,4.1,6420,29,0.14,Budget
631,Mondoro Asti,Italy,Asti,4.2,6406,17,0.24,Budget
632,Chiara Condello Predappio 2023,Italy,Sangiovese di Romagna,3.9,6405,26,0.15,Budget
634,Caprili Rosso di Montalcino 2024,Italy,Rosso di Montalcino,3.9,6404,34,0.12,Budget
635,Monteraponi Chianti Classico 2023,Italy,Chianti Classico,3.9,6386,42,0.09,Budget
649,Inama Azienda Agricola Vigneti di Foscarino Soave Classico 2023,Italy,Soave Classico,4.0,6248,42,0.1,Budget
650,Principi di Butera Nero d'Avola 2022,Italy,Terre Siciliane,3.7,6241,14,0.26,Budget
660,Giacosa Fratelli Barbera d'Alba Bussia 2023,Italy,Barbera d'Alba,3.7,6170,24,0.15,Budget
661,Brunelli Amarone della Valpolicella Classico 2022,Italy,Amarone della Valpolicella Classico,4.2,6168,45,0.09,Budget
663,Cantine Leonardo da Vinci Da Vinci Pinot Grigio 2024,Italy,delle Venezie,3.6,6141,14,0.27,Budget
665,Marchesi di Barolo Gavi 2024,Italy,Gavi,3.8,6130,19,0.2,Budget
667,Tommasi Poggio Al Tufo Cabernet Sauvignon 2022,Italy,Maremma Toscana,3.8,6123,24,0.16,Budget
676,La Serena Brunello di Montalcino 2021,Italy,Brunello di Montalcino,4.2,6047,36,0.12,Budget
682,Donna Laura Ali Toscana Sangiovese 2024,Italy,Toscana,3.7,5981,16,0.23,Budget
685,Barone Pizzini Animante Franciacorta,Italy,Franciacorta,3.8,5974,40,0.1,Budget
687,Cirelli Montepulciano d'Abruzzo 2024,Italy,Montepulciano d'Abruzzo,3.8,5968,24,0.16,Budget
690,Paltrinieri Radice 2024,Italy,Lambrusco di Sorbara,3.8,5962,28,0.14,Budget
692,Cupcake Moscato d'Asti,Italy,Moscato d'Asti,4.1,5960,11,0.37,Budget
693,Ruggeri Giustino B. Valdobbiadene Prosecco Superiore,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.1,5960,50,0.08,Budget
