name,country,region,rating,rating_count,price
Pascual Toso Malbec 2024,"('Argentina',)","('Mendoza',)",3.6,13304,20.0
W. & J. Graham's Six Grapes Reserve Port,"('Portugal',)","('Porto',)",3.9,13237,22.98
Laurent-Perrier Grand Siècle Champagne (Grande Cuvée),"('France',)","('Champagne',)",4.5,13233,249.99
St. Francis Old Vines Zinfandel 2022,"('United States',)","('Sonoma County',)",3.9,13202,19.92
Château Smith Haut-Lafitte Le Petit Haut Lafitte Pessac-Léognan 2023,"('France',)","('Pessac-Léognan',)",4.1,13149,69.99
Château Smith Haut-Lafitte Le Petit Haut Lafitte Pessac-Léognan 2006,"('France',)","('Pessac-Léognan',)",4.1,13149,429.99
J. Lohr Vineyards & Wines Los Osos Merlot 2023,"('United States',)","('Paso Robles',)",3.9,13132,17.69
Prophecy Pinot Noir 2023,"('United States',)","('California',)",3.7,13125,13.95
Ferreira Tawny Port,"('Portugal',)","('Porto',)",3.8,13113,20.25
Campo Viejo Cava Gran Brut Reserva,"('Spain',)","('Cava',)",3.6,13002,7.97
Poggio Al Tesoro Toscana Mediterra 2023,"('Italy',)","('Toscana',)",3.9,12907,19.95
Belasco de Baquedano Llama Old Vine Malbec 2023,"('Argentina',)","('Lujan de Cuyo',)",3.8,12871,22.09
Ruffino Prosecco,"('Italy',)","('Prosecco',)",3.7,12867,15.39
Ferrari Carano Siena 2023,"('United States',)","('Sonoma County',)",4.0,12846,22.97
G.H. Mumm Grand Cordon Brut Champagne,"('France',)","('Champagne',)",4.0,12718,58.36
Josh Cellars Reserve Bourbon Barrel Aged Cabernet Sauvignon 2024,"('United States',)","('California',)",4.1,12665,34.18
Vieux Château Certan Pomerol 2022,"('France',)","('Pomerol',)",4.4,12589,358.99
Vieux Château Certan Pomerol 2021,"('France',)","('Pomerol',)",4.4,12589,239.94
Gaja Sperss Barolo 2021,"('Italy',)","('Barolo',)",4.6,12584,754.99
Avalon Cabernet Sauvignon (CAB) 2023,"('United States',)","('California',)",3.6,12578,12.29
Austin Hope Austin Paso Robles Cabernet Sauvignon,"('United States',)","('Paso Robles',)",4.2,12570,19.99
Tenuta Castiglioni Toscana 2022,"('Italy',)","('Toscana',)",3.9,12555,36.58
São Miguel do Sul Tinto 2023,"('Portugal',)","('Alentejano',)",3.6,12552,12.29
Chimney Rock Cabernet Sauvignon 2023,"('United States',)","('Stags Leap District',)",4.4,12508,89.99
Château Monbousquet Saint-Émilion Grand Cru 2022,"('France',)","('Saint-Émilion Grand Cru',)",4.2,12472,75.43
Round Pond Estate Kith & Kin Cabernet Sauvignon 2023,"('United States',)","('Napa Valley',)",4.2,12435,41.33
Château Lalande-Borie Saint-Julien 2018,"('France',)","('Saint-Julien',)",4.0,12409,66.67
